                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3571,                 1.5205,                 1.2533,                0.52587,                0.47348,                0.50497,                0.30109,                 1.3201,                  1.311,                 1.2291,             0.00041262,             0.00041262,             0.00041262
                      2,                 1.3286,                  1.162,                 1.2312,                0.57829,                0.55218,                0.56048,                0.31257,                 1.3877,                 1.2315,                 1.2866,             0.00082564,             0.00082564,             0.00082564
                      3,                 1.3305,                 1.1428,                  1.234,                0.67915,                0.50879,                0.56097,                0.33219,                 1.3864,                 1.2211,                 1.2953,               0.001235,               0.001235,               0.001235
                      4,                 1.3392,                 1.1326,                 1.2397,                0.62164,                0.54973,                 0.5819,                0.33871,                 1.3671,                 1.1588,                 1.2473,              0.0012335,              0.0012335,              0.0012335
                      5,                 1.2982,                 1.0765,                 1.2211,                0.60904,                0.54947,                0.58479,                0.33887,                 1.3037,                 1.1124,                 1.2169,              0.0012335,              0.0012335,              0.0012335
                      6,                 1.2764,                 1.0518,                 1.2045,                0.66522,                0.60131,                0.65615,                0.39348,                 1.2709,                  1.063,                 1.2045,               0.001228,               0.001228,               0.001228
                      7,                 1.2613,                 1.0122,                 1.1981,                0.66262,                0.62265,                 0.6524,                0.38879,                 1.2719,                 1.0347,                 1.2067,              0.0012225,              0.0012225,              0.0012225
                      8,                 1.2236,                0.96499,                 1.1715,                0.77764,                0.61991,                 0.7047,                0.42897,                 1.2368,                0.92778,                 1.1738,               0.001217,               0.001217,               0.001217
                      9,                 1.2143,                0.96892,                 1.1778,                0.64605,                0.63575,                0.67356,                  0.407,                   1.24,                 1.0175,                 1.1917,              0.0012115,              0.0012115,              0.0012115
                     10,                  1.192,                0.93909,                 1.1567,                0.76456,                0.60003,                0.68367,                 0.4173,                 1.2665,                 1.0338,                 1.1828,               0.001206,               0.001206,               0.001206
                     11,                 1.1746,                0.91854,                 1.1516,                0.65799,                0.67474,                0.68704,                0.43494,                 1.1849,                0.89654,                 1.1594,              0.0012005,              0.0012005,              0.0012005
                     12,                 1.1581,                0.89735,                 1.1542,                 0.7241,                0.69412,                0.71648,                0.44978,                 1.1694,                0.87582,                 1.1491,               0.001195,               0.001195,               0.001195
                     13,                 1.1607,                0.89483,                 1.1504,                0.74358,                0.65299,                0.71834,                0.43135,                 1.2923,                  0.926,                 1.1854,              0.0011895,              0.0011895,              0.0011895
                     14,                 1.1506,                0.89175,                 1.1409,                0.77183,                0.65426,                0.71488,                0.44641,                 1.1746,                0.85407,                 1.1492,               0.001184,               0.001184,               0.001184
                     15,                 1.1164,                0.85271,                  1.121,                0.75684,                0.64275,                 0.7123,                0.44026,                 1.1816,                0.86683,                 1.1509,              0.0011785,              0.0011785,              0.0011785
                     16,                 1.1173,                0.84283,                  1.123,                0.70654,                0.71257,                0.74585,                0.45624,                  1.207,                0.82685,                 1.1509,               0.001173,               0.001173,               0.001173
                     17,                 1.0904,                0.81419,                 1.1124,                0.75117,                0.65157,                0.71278,                0.44884,                 1.1793,                0.84644,                 1.1479,              0.0011675,              0.0011675,              0.0011675
                     18,                 1.0996,                0.82378,                 1.1131,                0.74517,                0.67018,                0.73121,                0.44643,                 1.2207,                0.82103,                  1.143,               0.001162,               0.001162,               0.001162
                     19,                 1.0757,                0.79632,                 1.1042,                0.77561,                0.64171,                0.72246,                0.43851,                  1.192,                0.84752,                 1.1538,              0.0011565,              0.0011565,              0.0011565
                     20,                 1.0606,                 0.7817,                 1.0978,                0.73402,                 0.7251,                0.74228,                0.47106,                 1.1605,                0.80993,                 1.1326,               0.001151,               0.001151,               0.001151
                     21,                 1.0528,                 0.7709,                 1.0919,                0.76645,                0.66894,                0.73169,                0.46548,                 1.1596,                0.83777,                 1.1284,              0.0011455,              0.0011455,              0.0011455
                     22,                 1.0518,                0.77461,                 1.0915,                0.80025,                0.68114,                0.74482,                0.47186,                  1.143,                0.82156,                 1.1222,                0.00114,                0.00114,                0.00114
                     23,                 1.0469,                0.76838,                 1.0893,                 0.7973,                0.69863,                0.75163,                0.46743,                 1.1352,                0.77827,                 1.1107,              0.0011345,              0.0011345,              0.0011345
                     24,                 1.0201,                0.75006,                  1.076,                0.73956,                0.69463,                 0.7146,                0.45894,                 1.1373,                0.81326,                 1.1112,               0.001129,               0.001129,               0.001129
                     25,                 1.0183,                0.74335,                 1.0776,                 0.8033,                0.68319,                0.75014,                0.47344,                 1.1539,                0.81354,                 1.1402,              0.0011235,              0.0011235,              0.0011235
                     26,                 1.0243,                 0.7427,                 1.0767,                0.80813,                0.67634,                0.75169,                 0.4656,                 1.1422,                0.79627,                 1.1188,               0.001118,               0.001118,               0.001118
