                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2911,                 1.4373,                 1.2657,                0.57019,                0.49595,                  0.538,                0.33125,                 1.2401,                 1.2153,                 1.2287,             0.00041262,             0.00041262,             0.00041262
                      2,                 1.3301,                 1.1562,                 1.2747,                0.51998,                 0.4569,                0.48476,                0.27345,                  1.439,                 1.8077,                 1.3834,             0.00082655,             0.00082655,             0.00082655
                      3,                 1.3456,                 1.1737,                 1.2895,                0.63787,                0.58133,                0.60115,                0.33633,                 1.4161,                 1.4329,                 1.4046,              0.0012377,              0.0012377,              0.0012377
                      4,                 1.3494,                 1.1374,                 1.2946,                0.69033,                0.56567,                0.61244,                0.34585,                 1.3704,                 1.1461,                 1.3666,              0.0012376,              0.0012376,              0.0012376
                      5,                  1.296,                 1.0835,                 1.2676,                0.63138,                0.54591,                0.58031,                0.34559,                 1.3172,                 1.2671,                 1.2912,              0.0012376,              0.0012376,              0.0012376
                      6,                 1.2819,                 1.0615,                 1.2454,                0.63946,                0.60371,                0.64101,                 0.3774,                 1.2408,                 1.0631,                 1.2505,              0.0012335,              0.0012335,              0.0012335
                      7,                 1.2494,                 1.0193,                 1.2387,                0.70878,                0.60319,                0.68689,                0.40975,                 1.2835,                0.98819,                 1.2532,              0.0012294,              0.0012294,              0.0012294
                      8,                 1.2075,                0.95588,                 1.2112,                0.68242,                0.61193,                0.65827,                0.41142,                 1.2037,                0.95289,                 1.2118,              0.0012252,              0.0012252,              0.0012252
                      9,                 1.1883,                0.94427,                 1.2081,                0.69447,                0.67081,                0.68874,                0.41528,                 1.2286,                0.93731,                 1.2139,              0.0012211,              0.0012211,              0.0012211
                     10,                 1.1817,                0.91847,                 1.1902,                0.76954,                0.64481,                0.74182,                0.44913,                 1.1744,                 0.9452,                 1.2181,               0.001217,               0.001217,               0.001217
                     11,                 1.1378,                0.87727,                 1.1715,                0.75341,                0.70789,                0.74999,                0.46189,                  1.157,                0.80888,                 1.1664,              0.0012129,              0.0012129,              0.0012129
                     12,                 1.1315,                0.87342,                 1.1733,                0.75093,                0.67762,                0.72652,                0.45634,                 1.1703,                0.84961,                 1.1929,              0.0012087,              0.0012087,              0.0012087
                     13,                   1.11,                 0.8536,                 1.1637,                0.74609,                0.68715,                0.72885,                 0.4456,                 1.1733,                0.88019,                 1.1714,              0.0012046,              0.0012046,              0.0012046
                     14,                 1.1194,                0.85599,                 1.1581,                0.77332,                0.61501,                0.72263,                0.45386,                 1.1378,                 0.8433,                 1.1665,              0.0012005,              0.0012005,              0.0012005
                     15,                 1.0949,                0.81646,                 1.1494,                0.77125,                0.69117,                 0.7443,                0.46411,                 1.1805,                0.87275,                 1.1914,              0.0011964,              0.0011964,              0.0011964
                     16,                 1.0728,                0.80513,                 1.1411,                0.80527,                0.63829,                0.75269,                0.47312,                 1.1225,                0.80915,                 1.1705,              0.0011922,              0.0011922,              0.0011922
                     17,                 1.0549,                0.77517,                 1.1286,                 0.7888,                0.70816,                0.76344,                0.48839,                 1.1505,                0.78428,                 1.1751,              0.0011881,              0.0011881,              0.0011881
                     18,                 1.0663,                 0.7943,                 1.1288,                0.76446,                0.71853,                0.76707,                0.46811,                 1.1598,                0.81851,                 1.1658,               0.001184,               0.001184,               0.001184
                     19,                  1.026,                0.75572,                 1.1135,                0.78146,                0.71635,                0.75951,                0.47432,                 1.1162,                0.78245,                 1.1661,              0.0011799,              0.0011799,              0.0011799
                     20,                 1.0134,                0.74327,                 1.1114,                0.82975,                0.67706,                0.76995,                0.47464,                 1.1833,                0.83272,                 1.1855,              0.0011757,              0.0011757,              0.0011757
