                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0828,                0.80209,                 1.0818,                0.72328,                 0.6335,                0.68647,                0.43198,                  1.174,                0.89978,                 1.1045,              0.0010685,              0.0010685,              0.0010685
                     36,                 1.0639,                0.78669,                 1.0781,                0.73728,                0.65488,                0.70329,                0.44226,                  1.165,                0.84902,                 1.1088,               0.001063,               0.001063,               0.001063
                     37,                 1.0693,                 0.7777,                 1.0738,                0.78201,                0.64579,                0.72135,                0.44281,                 1.1848,                0.82837,                 1.1094,              0.0010575,              0.0010575,              0.0010575
                     38,                 1.0546,                0.77989,                 1.0722,                0.72394,                0.68325,                0.72634,                0.45089,                 1.1821,                0.83236,                 1.1144,               0.001052,               0.001052,               0.001052
                     39,                 1.0616,                 0.7816,                 1.0768,                0.74647,                0.64794,                0.69154,                0.41929,                 1.1937,                0.85624,                 1.1035,              0.0010465,              0.0010465,              0.0010465
                     40,                 1.0564,                0.77528,                 1.0784,                0.76605,                 0.6367,                0.71486,                0.44444,                 1.2084,                0.85094,                 1.1259,               0.001041,               0.001041,               0.001041
                     41,                 1.0495,                0.77493,                 1.0692,                 0.7017,                0.67391,                0.71424,                0.44008,                 1.1785,                0.84143,                 1.1114,              0.0010355,              0.0010355,              0.0010355
                     42,                 1.0456,                0.76235,                 1.0627,                0.78033,                0.65494,                0.71442,                0.45002,                 1.1844,                0.82116,                 1.1079,                0.00103,                0.00103,                0.00103
                     43,                 1.0534,                0.76597,                 1.0724,                  0.785,                0.64269,                0.71642,                0.45231,                 1.1666,                0.81298,                 1.1115,              0.0010245,              0.0010245,              0.0010245
                     44,                 1.0281,                0.75922,                  1.063,                0.74359,                 0.6403,                0.70159,                0.43016,                 1.2031,                0.82819,                 1.1341,               0.001019,               0.001019,               0.001019
                     45,                 1.0414,                0.75988,                 1.0639,                0.76634,                0.66915,                0.74125,                0.45041,                 1.1976,                0.81502,                 1.1245,              0.0010135,              0.0010135,              0.0010135
                     46,                 1.0247,                0.74641,                 1.0629,                0.81334,                 0.6492,                0.72989,                0.45329,                 1.1853,                0.81073,                  1.118,               0.001008,               0.001008,               0.001008
                     47,                 1.0291,                0.75206,                 1.0606,                0.76942,                0.65611,                0.71091,                0.44145,                  1.222,                0.83141,                 1.1339,              0.0010025,              0.0010025,              0.0010025
                     48,                 1.0182,                0.73927,                 1.0642,                 0.7707,                0.66746,                0.72175,                0.45047,                  1.196,                0.80739,                 1.1067,               0.000997,               0.000997,               0.000997
                     49,                 1.0264,                0.74451,                 1.0552,                0.72341,                0.65534,                0.70117,                0.42993,                 1.2068,                 0.8463,                 1.1294,              0.0009915,              0.0009915,              0.0009915
                     50,                 1.0462,                0.74647,                 1.0636,                0.72744,                0.69795,                 0.7266,                0.44916,                 1.1906,                0.80587,                 1.1168,               0.000986,               0.000986,               0.000986
                     51,                 1.0124,                0.73228,                 1.0488,                  0.733,                0.69367,                0.73036,                0.44932,                  1.195,                0.81296,                 1.1074,              0.0009805,              0.0009805,              0.0009805
                     52,                  1.001,                0.71987,                 1.0444,                0.77533,                0.66234,                0.72877,                0.45712,                 1.1372,                 0.7931,                  1.092,               0.000975,               0.000975,               0.000975
                     53,                0.99276,                0.71894,                 1.0476,                0.74197,                0.65643,                0.71629,                0.44308,                 1.2109,                0.86312,                 1.1307,              0.0009695,              0.0009695,              0.0009695
                     54,                 1.0064,                0.72027,                 1.0523,                 0.7874,                0.67573,                0.73443,                0.45914,                 1.1696,                 0.7858,                 1.1027,               0.000964,               0.000964,               0.000964
