                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.338,                 2.2204,                 1.3445,                0.77637,                 0.5386,                0.60116,                0.36847,                 1.2747,                 1.1903,                 1.2565,               0.003327,               0.003327,               0.003327
                      2,                 1.2567,                 1.4126,                 1.3006,                0.79751,                0.52246,                0.63438,                0.38733,                 1.3122,                 1.3443,                 1.3113,              0.0066163,              0.0066163,              0.0066163
                      3,                 1.2936,                 1.3544,                 1.3374,                0.66985,                0.46514,                0.57348,                0.33257,                 1.3968,                 1.4616,                 1.4412,              0.0098617,              0.0098617,              0.0098617
                      4,                 1.3163,                 1.2989,                 1.3528,                0.79248,                0.59159,                0.68935,                0.39146,                  1.435,                 1.2783,                 1.4659,               0.009802,               0.009802,               0.009802
                      5,                 1.2735,                  1.181,                 1.3289,                0.72795,                0.80891,                0.83094,                0.54851,                 1.1928,                 0.9094,                 1.2604,               0.009736,               0.009736,               0.009736
                      6,                 1.2497,                 1.1157,                 1.3195,                0.75248,                0.81192,                0.84367,                 0.5758,                 1.1216,                0.85676,                 1.2133,                0.00967,                0.00967,                0.00967
                      7,                 1.2118,                 1.0527,                  1.295,                0.76838,                0.75176,                0.80839,                0.51994,                 1.1514,                0.91281,                 1.2659,               0.009604,               0.009604,               0.009604
                      8,                 1.1906,                 1.0116,                 1.2796,                 0.8696,                0.77905,                0.87259,                0.59974,                 1.1571,                  0.826,                 1.2545,               0.009538,               0.009538,               0.009538
                      9,                  1.176,                0.97658,                 1.2704,                0.78192,                0.82601,                0.88438,                0.62003,                 1.1025,                0.78265,                 1.2034,               0.009472,               0.009472,               0.009472
                     10,                  1.155,                0.95143,                 1.2566,                0.84398,                0.82499,                0.90097,                 0.6395,                 1.0854,                0.76783,                 1.1866,               0.009406,               0.009406,               0.009406
                     11,                  1.132,                0.92259,                  1.242,                0.81642,                0.84528,                0.90219,                0.64346,                  1.025,                0.73736,                 1.1656,                0.00934,                0.00934,                0.00934
                     12,                 1.1255,                  0.914,                   1.24,                0.83889,                0.84042,                0.89169,                0.63971,                 1.0228,                0.73559,                 1.1639,               0.009274,               0.009274,               0.009274
                     13,                  1.114,                0.89505,                 1.2389,                0.85244,                0.79497,                0.88521,                 0.6293,                 1.0317,                0.73313,                 1.1621,               0.009208,               0.009208,               0.009208
                     14,                 1.1007,                0.87046,                 1.2232,                0.81881,                0.83678,                0.90187,                0.65626,                 1.0039,                0.70434,                 1.1443,               0.009142,               0.009142,               0.009142
                     15,                 1.0919,                0.85577,                 1.2188,                0.82355,                0.81705,                0.87935,                0.64419,                0.98605,                0.69248,                 1.1289,               0.009076,               0.009076,               0.009076
                     16,                 1.0874,                0.84596,                 1.2136,                0.83787,                0.85569,                0.91474,                0.68417,                0.95711,                0.67473,                 1.1221,                0.00901,                0.00901,                0.00901
                     17,                 1.0697,                0.83641,                 1.2087,                0.77508,                0.88168,                0.90549,                 0.6649,                0.97108,                0.67327,                 1.1185,               0.008944,               0.008944,               0.008944
                     18,                 1.0611,                0.82523,                 1.2024,                0.87434,                0.85744,                0.91495,                0.66813,                0.95788,                0.66821,                 1.1159,               0.008878,               0.008878,               0.008878
                     19,                 1.0557,                0.81468,                 1.1986,                0.83823,                0.87281,                0.89475,                0.65858,                 0.9579,                0.66704,                 1.1097,               0.008812,               0.008812,               0.008812
